code,label
1343010000000,Leiter/in eines Altenpflegedienstes
1344000100018,Manager/in Gemeindezentrum
1344000200018,Manager/in Sozialdienste
1344000300016,Leiter/in im Sozialdienst
1345000700018,Universitätsdekan
1345000800018,Universitätsabteilungsleiter/in
1345000900018,FakultätsLeiter/in der Universität
1345010000000,Leiter/in der Hochschulbildungseinrichtung
1345020000000,Berufsschuldirektor/in
1345030000000,Hauptschuldirektor/in
1345040000000,Grundschuldirektor/in
1346000100018,Bank leiter/in
1346000200018,Manager/in Bankfiliale
1346000300018,Manager/in Niederlassungsversicherung
1346000400018,Manager/in Bausparkasse
1346000500018,Leiter/in der Bausparkasse
1346000600018,Manager/in Credit Union
1346000700018,Manager/in Credit Union Zweigstelle
1346000800018,Manager/in Finanzinstitut
1346000900018,Manager/in Versicherungsgesellschaft
1346010000000,Bankzweigstellenleiter/in
1346020000000,Bereichsleiter/in Versicherungsdienstleistungen
1349000200018,Flugsicherheitsmanager/in
1349000300018,Manager/in Kunstgalerie
1349000400018,Manager/in Notdienste
1349000600018,Manager/in juristische Dienstleistungen
1349000700018,Manager/in Verlag
1349002300018,Polizeikommissar/in
1349002400000,Laborleiter/in
1349002500000,Archivleiter/in
1349002600000,Gefängnisleiter/in
1349002700000,Verleger/in
1349002800000,Abteilungsleiter/in Technik
1349030000018,Feuerwehrmanager/in
1349040000000,Bibliotheksleiter/in
1349050000000,Museumsleiter/in
1411000100018,Gastwirt
1411000200018,Manager/in Pension
1411000300018,Manager/in Gästehaus
1411000400018,Manager/in Hostel
1411000500018,Manager/in Motel
1411010000000,Hotelmanager/in
1411020000018,Manager/in Jugendherberge
1411030000000,Leiter/in einer Herberge oder einer Frühstückspension
1412000100018,Manager/in Kaffee
1412000200018,Kantinenleiter/in
1412000300018,Restaurantleiter/in
1412000400018,Manager/in Snackbar
1412010000000,Restaurantchef/in
1412020000000,Cateringleiter/in
1412030000000,Küchenleiter/in
1420000100018,Manager-Rabattgeschäft
1420000200018,Manager/in Lebensmittelgeschäft
1420000300018,Manager/in Versandhandel
1420000400018,Manager/in Selbstbedienungsladen
1420000500018,Manager/in Shop
1420000600018,Manager/in Supermarkt
1420001300018,Einzelhändler/in
1420010000000,Filialleiter/in
1420020000000,Großhändler/in
1420030000000,Filialleiter/in; Verkaufsstellenleiter/in
1431000100018,Manager/in Freizeitpark
1431000200018,Manager/in Billardhalle
1431000300018,Manager/in Kino
1431000400018,Manager/in Freizeitzentrum
1431000500018,Manager/in Poolhalle
1431000600018,Manager/in Reitschule
1431000700018,Manager/in Snookerhalle
1431000800018,Manager/in Schwimmbad
1431000900018,Manager/in Theater/in
1431010000000,Leiter/in eines Sportzentrums
1431020000000,Leiter/in einer Erholungseinrichtung
1431030000000,Leiter/in eines Kulturzentrums
1431040000000,Leiter/in eines Reitzentrums
1431050000000,Leiter/in eines Freizeitparks
1431080000000,Leiter/in einer religiösen Einrichtung
1431110000000,Casino- oder Wettbürogeschäftsführer/in
1431130000000,Zeitschriften- oder Zeitungsmanager/in
1439000100018,Manager/in Campingplatz
1439000200018,Manager/in Caravan Park
1439000300018,Manager/in Konferenzzentrum
1439010000000,Call-Center Manager/in
1439020000000,Leiter/in Einkaufszentrum
1439030000000,Reisebürokaufmann/frau
1439990000000,Leiter/in für sonstige Dienstleistungen
2111000100018,Astronom
2111000200018,Ballistiker/in
2111001000018,Atomphysiker/in
2111001100018,Radioastronom
2111001200018,Thermodynamiker/in
2111010000000,Physiker/in
2111020000000,Physiker/in und verwandte Tätigkeiten
2112010000000,Meteorologe/in
2112020000000,Klimatologe/in
2113000100018,Chemieforscher/in
2113000200018,Kristallograph/in
2113000300018,Industriechemiker/in
2113000600018,Forschungschemiker/in
2113010000000,Chemiker/in
2113020000000,Erdölchemiker/in
2113030000000,Pharmazeutische/r Chemiker/in
2113040000000,Textilchemiker/in
2113050000000,Qualitätskontrolleur/in / Inspekteur/in für chemische Produkte
2113060000000,Qualitätskontrolleur/in / Inspekteur/in für pharmazeutische Erzeugnisse
2114000100018,Erdwissenschaftler/in
2114000200018,Hydrologe/in
2114000300018,Paläontologe/in
2114000400018,Seismologe/in
2114000500018,Vulkanologe/in
2114010000000,"Geologe/in, Geophysiker/in"
2114040000000,Bergbaugeologe/in
2114050000000,Öl- oder Gasgeologe/in
2120000100018,Biometriker/in
2120010000000,Mathematiker/in
2120010000018,Biomechaniker/in
2120030000000,Statistiker/in
2120040000000,Demograph/in
2120050000000,Prozessanalytiker/in
2120060000000,Prognostiker/in für Energiebedarf
2120200000000,"Versicherungsfachmann/frau, Versicherungsmathematiker/in"
2131000100018,Anatom
2131000200018,Biomedizinischer Forscher/in
2131000300018,Botaniker/in
2131000400018,Klinischer Forscher/in
2131000500018,Gesundheitswissenschaftler/in
2131000600018,Hydrobiologe/in
2131000700018,Immunologe/in
2131000800018,Mammalogist
2131000900018,Meeresbiologe/in
2131001000018,Medizinischer wissenschaftlicher Mitarbeiter/in
2131001100018,Mikrobiologe/in
2131001200018,Hebammenforscher/in
2131001300018,Molekularbiologe/in
2131001400016,Mitarbeiter/in in der klinischen Forschung
2131001800018,Pflegeforscher/in
2131001900018,Parasitologe/in
2131002000018,Physiologe/in
2131002100018,Zoologe/in
2131010000000,Epidemiologe/in
2131020000000,Genetiker/in
2131030000000,Biotechnologe/in
2131040000000,Toxikologe/in
2131050000000,Biologe/in
2131050000018,Biochemiker/in
2131060000000,Bakteriologe/in
2131070000000,Pharmakologe/in
2132000100018,Agraringenieur/in
2132000200018,Landwirtschaftlicher Erweiterungsoffizier/in
2132000400018,Pflanzenbauberater/in
2132000500018,Ernteforscher/in
2132000600018,Farm Management Berater/in
2132000700018,Forstwissenschaftler/in
2132000800018,Gartenwissenschaftler/in
2132000900018,Tierzuchtberater/in
2132010000000,Landwirtschaftsberater/in
2132020000018,Bodenwissenschaftler/in
2132030000000,Berater/in Fischereiwirtschaft
2132050000000,Waldpflegeberater/in
2132060000000,Agrarwissenschaftler/in
2133000100018,Luftverschmutzungsanalytiker/in
2133000200018,Luftqualitätswissenschaftler/in
2133000300018,Revierverwalter/in
2133000400018,Naturschutzwissenschaftler/in
2133000500018,Ökologischer Berater/in
2133000600018,Umweltschutzrevisor/in
2133000700018,Umweltberater/in
2133000800018,Verantwortlicher für das Management natürlicher Ressourcen
2133001600018,Salzgehalt-Forscher/in
2133001700018,Bodenschützer/in
2133001800018,Vegetationsmanagementoffizier/in
2133001900018,Wasserqualitätsanalytiker/in
2133002000018,Wissenschaftler für Wasserqualität
2133002100018,Forscher für Wasserressourcen
2133002200018,Wasserstraßen-Managementoffizier/in
2133010000000,Umwelttechniker/in
2133020000000,Umweltwissenschaftler/in
2133030000018,Ökologe/in
2141000100018,Ingenieur/in für Lebensmittelverarbeitung
2141000200018,Industrieanlageningenieur/in
2141000300018,Fertigungsprozessingenieur/in
2141000500018,Verpackungstechnologe/in
2141000600018,Arbeitsstudien Ingenieur/in
2141010000000,Industrieingenieur/in
2141020000000,Produktionsingenieur/in
2141030000000,Gesundheits- oder Sicherheitsingenieur/in
2141040000000,Logistikingenieur/in
2141060000000,Planungsingenieur/in
2141070000000,Markenmanager/in
2142000100018,Baustofftechnologe/in
2142000300018,Geotechnischer Ingenieur/in
2142000400018,Bewässerungsingenieur/in
2142002400018,Ingenieur/in für öffentliche Gesundheit
2142002500018,Hygienetechniker/in
2142002600018,Tragwerkplaner/in
2142010000000,Ingenieur/in
2142020000000,Bauingenieur/in
2142030000000,Baggeringenieur/in
2142040000000,Ingenieur/in für Boden- und Wasserschutz
2142050000000,Hydraulikingenieur/in
2143000100018,Luftverschmutzungsberater/in
2143000800018,Abwasser Prozessingenieur/in
2143010000000,Umweltingenieur/in
2144000100018,Flugtechniker/in
2144000200018,Ingenieur/in für landwirtschaftliche Maschinen
2144000300018,Klimaingenieur/in
2144000400018,Flugzeugdesigner/in
2144000500018,Dieselingenieur/in
2144000700018,Gasturbineningenieur/in
2144000800018,Jet Engine Engineer/in
2144000900018,Marinearchitekt/in
2144001000016,Mechatroniker/in
2144001100018,Motordesigner/in
2144001200018,Schiffahrtsingenieur/in
2144002800018,Schiffsbauingenieur/in
2144002900018,Schweißtechniker/in
2144010000000,Maschinenbauingenieur/in
2144020000000,Flugzeugingenieur/in
2144030000000,KFZ Ingenieur/in
2144050000000,Marineingenieur/in
2144060000000,Wärmetechnikingenieur/in
2144080000000,Luft- und Raumfahringenieur/in
2145000100018,Braumeister/in
2145000200018,Fasertechnologe/in
2145000900018,Farbtechnologe/in
2145001000018,Papiertechnologe/in
2145001100018,Erdölraffinerieingenieur/in
2145001200018,Kunststofftechnologe/in
2145001300018,Polymertechnologe/in
2145001400018,Raffinerie Prozessingenieur/in
2145001500018,Gummitechnologe/in
2145001600018,Reifentechnologe/in
2145001700018,Kellermeister/in
2145010000000,Chemieingenieur/in
2145020000000,Techniker/in Lebensmittel (Verarbeitungstechnik)
2146001200018,Ingenieur/in für Erdölgewinnung
2146010000000,Bergbauingenieur/in
2146020000000,Matallurg(e/in)
2149000100018,Biomedizinischer Ingenieur/in
2149000200018,Zement-Technologe/in
2149000300018,Keramik Ingenieur/in
2149000400018,Kostenbewertungsingenieur/in
2149000500018,Glastechnologe/in
2149000600018,Technologe aus Leder/in
2149000700018,Marine Bergungsingenieur/in
2149001400018,Nuklearenergietechniker/in
2149001500018,Optischer Ingenieur/in
2149001600018,Robotiktechniker/in
2149001700018,Betriebssicherheitsingenieur/in
2149001800018,Verkehrsingenieur/in
2149010000000,Vermesser/in
2149020000000,Werkstoffingenieur/in
2149040000018,Textilien Technologe/in
2151000100018,Autodesigner/in
2151000200018,Elektromechaniker/in
2151000300018,Ingenieur/in für Hochspannung
2151001200018,Energieverteilungsingenieur/in
2151001300018,Energieerzeugungsingenieur/in
2151001400018,Bahnsignalingenieur/in
2151010000000,Elektroingenieur/in
2152001300018,Halbleiter Ingenieur/in
2152010000000,Elektronikingenieur/in
2153000100018,Rundfunkingenieur/in
2153000600018,Radaringenieur/in
2153000700018,Radioingenieur/in
2153000800018,Signalanlagenbauer/in
2153000900018,Telefoningenieur/in
2153001000018,TV-Ingenieur/in
2153010000000,Telekommunikationsingenieur/in
2161000100018,Innenarchitekt/in
2161000500018,Architekt/in
2161010000000,Bauarchitekt/in
2162000100018,Golfplatz-Designer/in
2162010000000,Landschaftsarchitekt/in
2162020000000,Gartenarchitekt/in
2163000100018,Kostümzeichner/in
2163000200018,Dessin Designer/in
2163000400018,Textil designer/in
2163000600018,Bekleidungsdesigner/in
2163000700018,Schmuckentwerfer/in
2163000800018,Designer aus Lederwaren
2163000900018,Produkt designer/in
2163001000018,Schuhdesigner/in
2163010000000,Produktdesigner/in
2163020000000,Modedesigner/in
2163030000000,"Stylist/in, Modeberater/in"
2163040000000,Industriedesigner/in
2163050000000,Verpackungsdesigner/in
2163060000000,Textildesigner/in
2163070000000,Möbeldesigner/in
2164000500016,Bauträger/in
2164001000018,Verkehrsplaner/in
2164010000000,Stadtplaner/in
2164020000018,Transportplaner/in
2164030000000,Schiffplaner/in
2165000100018,Luftingenieur/in
2165000200018,Luftbildvermesser/in
2165000300018,Katastervermesser/in
2165000400018,Kartografischer Editor/in
2165000500018,Geodät
2165000600018,GIS-Beauftragter/in
2165000700018,Hydrographischer Vermesser/in
2165000800018,Kartenhersteller/in
2165000900018,Grubenvermesser/in
2165001200018,Fotografischer Vermesser/in
2165001300018,Geodatenanalytiker/in
2165001400018,Räumlicher Wissenschaftler/in
2165001500018,Topographischer Vermesser/in
2165010000000,Kartograf/in
2165020000000,Vermessungstechniker/in
2166000100016,Animationsdesigner/in
2166000200016,Trickfilmzeichner/in
2166000300018,Buchillustrator/in
2166000400018,Werbegrafiker/in
2166000500018,Computerspiele-Designer/in
2166000600018,Digital Artist
2166000900018,Multimedia-Autor
2166001400018,Plakatzeichner/in
2166001500018,Publikationsdesigner/in
2166010000000,Grafikdesigner/in
2166020000000,Multimedia-Designer/in
2166030000000,Webdesigner/in
2166040000000,Illustrator/in
2166050000018,Typografischer Designer/in
2211000100016,Versicherungsarzt/-ärztin
2211000200018,Gerichtsarzt/-ärztin
2211010000000,Facharzt/Fachärztin für Allgemeinmedizin; Hausarzt/Hausärztin
2211040000000,Betriebsarzt/-ärztin
2212000100016,Balneologe/in
2212000200018,Kardiologiechirurg
2212000300018,Klinische/r Pathologe/in
2212000400018,Hautarzt/-ärztin
2212000500016,Diabetologe/in
2212000600018,Hals-Nasen-Ohrenarzt/-ärztin
2212000700018,Facharzt für Notfallmedizin
2212000800016,Endokrynologe/in
2212000900018,Forensischer Pathologe/in
2212001000016,Allgemeinmediziner für Erwachsene
2212001100016,Hausarzt/-ärztin für Kinder (Kinderarzt)
2212001200016,Geriater/in
2212001300016,Hämatologe/in
2212001400016,"Immunologe/in, Allergologe/in"
2212001500016,Infektologe/in
2212001600018,Intensivspezialist/in
2212001700018,Internist/in
2212001900018,Spezialist für medizinische Bildgebung
2212002000016,Neonatologe/in
2212004300016,Onkologe/in
2212004400018,Augenarzt/-ärztin
2212004500016,Orthopädischer Chirurg/in
2212004600016,Othorynolaryngologist
2212004700018,Kinderarzt/-ärztin
2212004800016,Pneumologe/in
2212004900016,Rheumatologe/in
2212005000016,Sexuologe/in
2212005100016,Spezialist für Nuklearmedizin
2212005200018,Fachärzte (öffentliches Gesundheitswesen)
2212005300018,Sportarzt/-ärztin
2212010000000,Anästhesist/in
2212020000000,Gynäkologe/in
2212030000000,Psychiater/in
2212040000000,Chirurg/in
2212050000000,Urologe/in
2212060000000,Pathologe/in
2212080000000,Gastroenterologe/in
2212130000000,"Hygienist-, Gesundheits-Offizier/in"
2212160020316,Interner Spezialist/in
2212170000000,Kardiologe/in
2212180000000,Haut Spezialist/in
2212210000000,Neurologe/in
2212220000000,Optische Spezialist/in
2212260000000,Plastische/r Chirurg/in
2212320000000,Zahnarzt/-ärztin-Chirurg/in
2212350000000,Radiologe/in
2212990000000,Andere Fachärzte/Fachärztinnen
2221000100018,Zertifizierte Krankenschwester/in
2221000200018,Klinische Krankenschwester/in
2221000300018,Klinischer Krankenschwester Berater/in
2221000400018,Krankenschwester (zertifiziert)
2221005000018,Krankenschwester Anästhesist
2221005100018,Krankenschwester Erzieher/in
2221005300018,Geburtshilfe Krankenschwester (zertifiziert)
2221005400018,Krankenschwester für Arbeitsmedizin (zertifiziert)
2221005500018,Orthopädische Krankenschwester/in
2221005600018,Kinderkrankenschwester (zertifiziert)
2221005700018,Krankenschwester/in
2221005800018,Staatlich geprüfte Krankenschwester/in
2221005900018,Spezialist Krankenschwester/in
2221020000000,Stationsschwester/-pfleger/in
2221030000000,Kinderkrankenschwester/-pfleger/in
2221050000000,Bezirkskrankenschwester/-pfleger/in
2221060000000,Krankenschwester/Krankpfleger /in
2221070000000,"Intensiv-, Reha-Schwester/-Pfleger/in"
2221090000000,Krankenschwester/-pfleger in der Psychatrie
2221110000000,OP-Schwester/-pfleger/in
2222010000000,Hebamme (f) / Entbindungspfleger (m)
2222010000018,Hebammenlehrer/in
2230000100018,Akupunkteur
2230000200018,Praktiker der chinesischen Medizin
2230000300018,Hypnotherapeutin
2230010000000,Homöopath/in
2240000100018,Klinischer paramedizinischer Offizier/in
2240000300018,Chirurgischer Techniker/in
2240010000018,Paramedizinische Praktiker/in
2250000400018,Tierarzt/in
2250000500018,Veterinärwissenschaftler/in
2250010000000,Veterinär/in
2261000200018,Kieferchirurgen
2261000300018,Orthodontist/in
2261000400018,Stomatologist
2261010000000,Zahnarzt/-ärztin
2262000100018,Apotheke ausgeben
2262000200018,Krankenhausapotheker/in
2262000300018,Industriepharmazeut
2262000500018,Apotheker/in
2262000600018,Apotheke intern
2262010000000,Apotheker/in im Krankenhaus oder in einem Unternehmen
2262020000000,"Apotheker/in, pharmazeutischer Leiter/in"
2263000100018,Umweltgesundheitsberater/in
2263000800018,Gesundheitsbeauftragter/in
2263000900018,Berater/in für Strahlenschutz
2263010000000,Arbeitsschutzkoordinator/in
2264000100018,Geriatrischer Therapeut/in
2264000800018,Orthopädischer Therapeut/in
2264000900018,Pädiatrischer Therapeut/in
2264010000000,Physiotherapeut/in
2264030000000,Atmungstherapeut/in
2264050000000,Motopäde/in
2265000100018,Klinischer diätologe/in
2265000200018,Ernährungsberater/in
2265000600018,Ernährungsberater für öffentliche Gesundheit
2265000700018,Sporternährungsberater/in
2265010000000,"Diätassistent/in, Ernährungsberater/in"
2265040000013,Ökotrophologe/in
2266010000000,Audiologe/Audiologin
2266020000000,Sprachtherapeut/in; Logopäde/in
2266030000013,Hörgeräteakustiker/in
2267010000000,Augenoptiker/in - Meister/in
2267030000000,Kontaktlinsen Spezialist/in
2269000100018,Blinder Therapeut/in
2269000200018,Tanztherapeut/in
2269000300018,Musiktherapeut/in
2269020000000,"Fußpfleger/in, Podologe/in"
2269030000000,Osteopath/in
2269040000000,Freizeittherapeut/in
2269050000000,Heilender Turner/in
2269060000000,Chiropraktiker/in
2269120000000,Arbeitstherapeut/in
2310000100018,Hochschullehrer/in (postsekundärer Unterricht)
2310000200018,Professor
2310000300018,Psychometriker/in
2310000400016,Studentische Hilfskraft
2310000500018,Dozent an der Universität
2310000600018,Hochschulprofessor
2310000700018,Lektor/in universität
2310000800018,Universitätslehrer/in
2310010000000,"Lehrer/in für Agrarwesen, Natur, Tiere, Umweltwissenschaften an weiterführender Bildungseinrichtung"
2310020000000,Lehrer/in für Informatik und Mathematik an weiterführender Bildungseinrichtung
2310030000000,"Lehrer/in für Volkswirtschaft, Betriebswirtschaft und Unternehmensführung an weiterführender Bildungseinrichtung"
2310040000000,"Lehrer/in für Ingenieurwesen, Transport und Logistik an weiterführender Bildungseinrichtung"
2310050000000,Lehrer/in für Gesundheitswissenschaften an weiterführender Bildungseinrichtung
2310060000000,Lehrer/in für Geisteswissenschaften an weiterführender Bildungseinrichtung
2310070000000,"Lehrer/in für Journalismus, Medien und Kommunikation an weiterführender Bildungseinrichtung"
2310080000000,Lehrer/in für Recht und öffentliche Verwaltung an weiterführender Bildungseinrichtung
2310090000000,"Lehrer/in für Freizeitwissenschaft, Tourismus und Gastronomie an weiterführender Bildungseinrichtung"
2310100000000,Lehrer/in für Natur- und Biowissenschaften an weiterführender Bildungseinrichtung
2310120000000,Lehrer/in für andere Fachgebiete an weiterführender Bildungseinrichtung
2310130000000,"Lehrer/in für Psychologie, pädagogische Fachgebiete an weiterführender Bildungseinrichtung"
2310140000000,Lehrer/in für Sozialarbeit an weiterführender Bildungseinrichtung
2310150000000,"Universitätsdozent/in für Agrarwesen, Natur, Tiere, Umweltwissenschaften"
2310160000000,Universitätsdozent/in für Informatik und Mathematik
2310170000000,"Universitätsdozent/in für Volkswirtschaft, Betriebswirtschaft und Unternehmensführung"
2310180000000,"Universitätsdozent/in für Ingenieurwesen, Transport und Logistik"
2310190000000,Universitätsdozent/in für Gesundheitswissenschaften
2310200000000,Universitätsdozent/in für Geisteswissenschaften
2310210000000,"Universitätsdozent/in für Journalismus, Medien und Kommunikation"
2310220000000,Universitätsdozent/in für Recht und öffentliche Verwaltung
2310230000000,"Universitätsdozent/in für Freizeitwissenschaft, Tourismus und Gastronomie"
2310240000000,Universitätsdozent/in für Natur- und Biowissenschaften
2310260000000,Universitätsdozent/in für ein anderes Fachgebiet
2310270000000,"Universitätsdozent/in für Psychologie, pädagogische Fachgebiete an weiterführender Bildungseinrichtung"
2310280000000,Universitätsdozent/in für Sozialarbeit
2310290000000,"Professor/in für Agrarwesen, Natur, Tiere, Umweltwissenschaften"
2310300000000,Professor/in für Informatik und Mathematik
2310310000000,"Professor/in für Volkswirtschaft, Betriebswirtschaft und Unternehmensführung"
2310320000000,"Professor/in für Ingenieurwesen, Transport und Logistik"
2310330000000,Professor/in für Gesundheitswissenschaften
2310340000000,Professor/in für Geisteswissenschaften
2310350000000,"Professor/in für Journalismus, Medien und Kommunikation"
2310360000000,Professor/in für Recht und öffentliche Verwaltung
2310370000000,"Professor/in für Freizeitwissenschaft, Tourismus und Gastronomie"
2310380000000,Professor/in für Natur- und Biowissenschaften
2310400000000,Professor/in für ein anderes Fachgebiet
2310410000000,"Professor/in für Psychologie, pädagogische Fachgebiete an weiterführender Bildungseinrichtung"
2310420000000,Professor/in für Sozialarbeit
